date,time,value
2021-03-09,12:04:36,957493.1875
2021-03-09,12:04:47,957494.1875
2021-03-09,12:04:59,957495.1875
2021-03-09,12:05:11,957496.1875
2021-03-09,12:05:22,957497.125
2021-03-09,12:05:34,957498.125
2021-03-09,12:05:46,957499
2021-03-09,12:05:58,957500
2021-03-09,12:06:09,957501
2021-03-09,12:06:21,957502
2021-03-09,12:06:34,957503.125
2021-03-09,12:06:46,957504.125
2021-03-09,12:06:57,957505.125
2021-03-09,12:07:09,957506.125
2021-03-09,12:07:21,957507.125
2021-03-09,12:07:34,957508.125
2021-03-09,12:07:45,957509.125
2021-03-09,12:07:56,957510.125
2021-03-09,12:08:08,957511.125
2021-03-09,12:08:20,957512.125
2021-03-09,12:08:31,957513
2021-03-09,12:08:43,957514
2021-03-09,12:08:55,957515
2021-03-09,12:09:06,957515.9375
2021-03-09,12:09:17,957516.9375
2021-03-09,12:09:29,957518
2021-03-09,12:09:41,957519
2021-03-09,12:09:52,957520
2021-03-09,12:10:04,957521
2021-03-09,12:10:16,957522
2021-03-09,12:10:27,957523
2021-03-09,12:10:39,957524
2021-03-09,12:10:51,957525
2021-03-09,12:11:03,957526
2021-03-09,12:11:14,957527
2021-03-09,12:11:26,957528
2021-03-09,12:11:38,957529
2021-03-09,12:11:49,957530
2021-03-09,12:12:01,957531.125
2021-03-09,12:12:13,957532
2021-03-09,12:12:24,957533.125
2021-03-09,12:12:36,957534.125
2021-03-09,12:12:48,957535.125
2021-03-09,12:12:59,957536.125
2021-03-09,12:13:11,957537.1875
2021-03-09,12:13:23,957538.1875
2021-03-09,12:13:35,957539.3125
2021-03-09,12:13:47,957540.1875
2021-03-09,12:13:58,957541.3125
2021-03-09,12:14:10,957542.3125
2021-03-09,12:14:21,957543.3125
2021-03-09,12:14:34,957544.4375
2021-03-09,12:14:46,957545.4375
2021-03-09,12:14:57,957546.4375
2021-03-09,12:15:09,957547.4375
2021-03-09,12:15:21,957548.5
2021-03-09,12:15:32,957549.625
