,time,price
11,2021-04-02 10:00:00+00:00,339.22
12,2021-04-02 11:00:00+00:00,303.91
13,2021-04-02 12:00:00+00:00,242.14
14,2021-04-02 13:00:00+00:00,112.37
15,2021-04-02 14:00:00+00:00,85.01
16,2021-04-02 15:00:00+00:00,120.72
17,2021-04-02 16:00:00+00:00,281.38
18,2021-04-02 17:00:00+00:00,338.42
19,2021-04-02 18:00:00+00:00,355.22
20,2021-04-02 19:00:00+00:00,376.75
21,2021-04-02 20:00:00+00:00,390.23
22,2021-04-02 21:00:00+00:00,380.67
23,2021-04-02 22:00:00+00:00,376.85
0,2021-04-02 23:00:00+00:00,399.18
1,2021-04-03 00:00:00+00:00,375.14
2,2021-04-03 01:00:00+00:00,366.39
3,2021-04-03 02:00:00+00:00,363.67
4,2021-04-03 03:00:00+00:00,362.36
5,2021-04-03 04:00:00+00:00,371.82
6,2021-04-03 05:00:00+00:00,390.53
7,2021-04-03 06:00:00+00:00,405.42
8,2021-04-03 07:00:00+00:00,409.14
9,2021-04-03 08:00:00+00:00,405.42
10,2021-04-03 09:00:00+00:00,398.68
11,2021-04-03 10:00:00+00:00,372.42
12,2021-04-03 11:00:00+00:00,350.19
13,2021-04-03 12:00:00+00:00,302.2
14,2021-04-03 13:00:00+00:00,233.59
15,2021-04-03 14:00:00+00:00,271.12
16,2021-04-03 15:00:00+00:00,328.16
17,2021-04-03 16:00:00+00:00,366.18
18,2021-04-03 17:00:00+00:00,382.18
19,2021-04-03 18:00:00+00:00,403.1
20,2021-04-03 19:00:00+00:00,406.22
21,2021-04-03 20:00:00+00:00,400.29
22,2021-04-03 21:00:00+00:00,398.17
23,2021-04-03 22:00:00+00:00,393.85
0,2021-04-03 23:00:00+00:00,400.29
1,2021-04-04 00:00:00+00:00,396.46
2,2021-04-04 01:00:00+00:00,388.22
3,2021-04-04 02:00:00+00:00,386.71
4,2021-04-04 03:00:00+00:00,375.64
5,2021-04-04 04:00:00+00:00,367.09
6,2021-04-04 05:00:00+00:00,358.44
7,2021-04-04 06:00:00+00:00,357.63
8,2021-04-04 07:00:00+00:00,345.36
9,2021-04-04 08:00:00+00:00,325.24
10,2021-04-04 09:00:00+00:00,307.33
