,index,PmP2QAct,PmP2PAct,PL,FedQAct,elspec_PmEAct,PmP2EImportAct,PV,Met_WdSpd,Met_Temp,Met_IrrGloHoztl,Met_IrrPOA,Met_ModTemo,SysBatIAct,SysBatEAct,SysBatSocTotAct,SysBatVAct,SysBatChargingSt,SysBatDischargingSt,date
1640,16400,-4.090960141886835,10.033362297389816,292.4988500660863,8.168999624252322,312.50000002328306,11.25,226.50000000139698,0.8,8.12857164655413,285.3333333333333,309.0,0.5,0.2,762.2496032714844,69.64999771118165,742.9800048828125,0.924506387921022,0.5475829178408844,2020-10-12 10:20:00
1641,16410,-4.833674065272011,10.789008315404256,296.3549664934106,8.213613982673166,285.0,9.375,236.25,1.5,7.950000047683716,297.0,314.0,0.5,0.21428571428571402,762.2496032714844,69.64999771118165,742.971435546875,0.9268292682926829,0.5486668111857793,2020-10-12 10:30:00
1642,16420,-4.786444006847733,10.350330240586219,272.8959735492328,9.86077827267942,255.0,11.25,267.6249999809079,0.2857142857142858,8.366666793823242,308.0,317.0,0.5,-1.5,762.2496032714844,69.64999771118165,743.0,0.9291521486643437,0.5497507045306742,2020-10-12 10:40:00
1643,16430,-4.821683307146202,10.822994445932324,298.03723737928607,11.03091943689755,277.5,12.500000009313226,279.749999998603,1.0,8.90000057220459,315.5,321.0,0.5,1.125,762.2496032714844,69.64999771118165,742.9285801478795,0.9314750290360048,0.5508345978755691,2020-10-12 10:50:00
1644,16440,-3.437968553815567,15.41732191002887,311.08863657825395,10.579553576878139,337.5,15.624999990686774,258.00000000279397,0.75,9.40000057220459,324.0,321.0,0.5,-2.083333333333332,762.2496032714844,69.64999771118165,742.9400146484375,0.9337979094076656,0.5519184912204639,2020-10-12 11:00:00
1645,16450,-3.796550258346225,16.19615280933869,305.8486270544665,8.16977519186858,286.2499999953434,17.499999990686774,256.500000001397,1.2857142857142856,9.650000095367432,330.3333333333333,323.0,0.5,0.16666666666666602,762.4320068359375,69.66666412353514,742.9000122070313,0.9361207897793264,0.5530023845653588,2020-10-12 11:10:00
1646,16460,-4.790387207376105,13.249998075772172,297.1068325598264,10.049641847610472,283.7500000046566,13.125,292.7500000060536,2.0,9.40000057220459,335.0,321.0,0.5,-2.5,762.7968139648436,69.69999694824217,742.9200073242188,0.9384436701509873,0.5540862779102537,2020-10-12 11:20:00
1647,16470,-2.764772086812738,16.191684764728215,288.97881100155894,7.749781495048884,280.0000000046566,15.000000013969839,274.49999999720603,1.0,9.54000015258789,343.4,321.5,0.5,1.0,762.2496032714844,69.64999771118165,742.8833414713541,0.9407665505226481,0.5551701712551484,2020-10-12 11:30:00
1648,16480,-2.831718454841806,15.450551930595838,277.6666531949429,6.73970393680391,317.5000000046566,17.8125,279.749999998603,1.8888888888888888,9.614286014011928,348.0,319.3333333333333,0.5,-0.17647058823529402,762.2496032714844,69.64999771118165,742.8833414713541,0.943089430894309,0.5562540646000433,2020-10-12 11:40:00
1649,16490,-1.011981054356223,14.952462334918161,309.3483070090964,7.685998470694928,286.2499999674037,15.625000004656613,275.999999998603,1.0,10.050000190734863,351.0,317.0,0.5,1.75,762.0671997070312,69.63333129882812,742.8500061035155,0.9454123112659698,0.5573379579449382,2020-10-12 11:50:00
1650,16500,-3.10882790077914,13.856965847504448,295.4555059310493,9.378144758556957,278.7499999953434,15.0,278.24999999720603,1.6666666666666667,10.125000238418579,352.0,312.0,0.5,-0.125,762.2496032714844,69.64999771118165,742.8800048828125,0.9477351916376306,0.5584218512898331,2020-10-12 12:00:00
