,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,date,rmse
30,4.875,20.15625,18.515625,43.37499999999997,51.34375,44.0625,49.90625,52.4375,44.625,51.09375,32.375,-1.3125,-1.125,2.0625,21.1875,31.6875,-2.4375,25.875,39.9375,1.5,-9.0,4.6875,2.25,-0.5625,-20.0625,-19.5,-17.0625,5.8125,-38.0625,-38.8125,-36.375,-41.25,17.625,12.1875,-22.125,-45.9375,-22.3125,-2.0625,22.3125,8.8125,-11.8125,-46.125,-17.625,-3.1875,8.0625,-4.125,-2.4375,9.5625,16.875,11.4375,27.0,3.75,15.9375,23.25,11.625,3.375,-16.3125,-22.125,-18.9375,-32.0625,2021-04-14 05:00:00,25.883397467984704
31,16.296875,16.84375,43.640625,52.93749999999997,50.1875,56.625,57.609375,50.5625,55.921875,38.25,5.75,-1.125,2.0625,21.1875,31.6875,-2.4375,25.875,39.9375,1.5,-9.0,4.6875,2.25,-0.5625,-20.0625,-19.5,-17.0625,5.8125,-38.0625,-38.8125,-36.375,-41.25,17.625,12.1875,-22.125,-45.9375,-22.3125,-2.0625,22.3125,8.8125,-11.8125,-46.125,-17.625,-3.1875,8.0625,-4.125,-2.4375,9.5625,16.875,11.4375,27.0,3.75,15.9375,23.25,11.625,3.375,-16.3125,-22.125,-18.9375,-32.0625,-42.0,2021-04-14 05:10:00,27.482439350542556
32,3.703125,33.40625,45.0,47.74999999999997,55.75,56.15625,50.84375,56.0625,40.40625,10.0625,4.5625,2.0625,21.1875,31.6875,-2.4375,25.875,39.9375,1.5,-9.0,4.6875,2.25,-0.5625,-20.0625,-19.5,-17.0625,5.8125,-38.0625,-38.8125,-36.375,-41.25,17.625,12.1875,-22.125,-45.9375,-22.3125,-2.0625,22.3125,8.8125,-11.8125,-46.125,-17.625,-3.1875,8.0625,-4.125,-2.4375,9.5625,16.875,11.4375,27.0,3.75,15.9375,23.25,11.625,3.375,-16.3125,-22.125,-18.9375,-32.0625,-42.0,-64.3125,2021-04-14 05:20:00,28.03299251656151
33,31.59375,44.46875,51.703125,60.24999999999997,59.0625,54.46875,58.53125,43.875,14.671875,9.53125,7.359375,21.1875,31.6875,-2.4375,25.875,39.9375,1.5,-9.0,4.6875,2.25,-0.5625,-20.0625,-19.5,-17.0625,5.8125,-38.0625,-38.8125,-36.375,-41.25,17.625,12.1875,-22.125,-45.9375,-22.3125,-2.0625,22.3125,8.8125,-11.8125,-46.125,-17.625,-3.1875,8.0625,-4.125,-2.4375,9.5625,16.875,11.4375,27.0,3.75,15.9375,23.25,11.625,3.375,-16.3125,-22.125,-18.9375,-32.0625,-42.0,-64.3125,-44.625,2021-04-14 05:30:00,29.270069056043802
34,16.578125,30.71875,42.234375,41.875,40.421875,45.75,34.515625,8.875,6.515625,7.09375,24.109375,31.6875,-2.4375,25.875,39.9375,1.5,-9.0,4.6875,2.25,-0.5625,-20.0625,-19.5,-17.0625,5.8125,-38.0625,-38.8125,-36.375,-41.25,17.625,12.1875,-22.125,-45.9375,-22.3125,-2.0625,22.3125,8.8125,-11.8125,-46.125,-17.625,-3.1875,8.0625,-4.125,-2.4375,9.5625,16.875,11.4375,27.0,3.75,15.9375,23.25,11.625,3.375,-16.3125,-22.125,-18.9375,-32.0625,-42.0,-64.3125,-44.625,-38.8125,2021-04-14 05:40:00,26.281566926101377
35,19.640625,32.71875,31.78125,32.0625,37.25,28.03125,4.546875,3.5625,5.484375,24.28125,32.640625,-2.4375,25.875,39.9375,1.5,-9.0,4.6875,2.25,-0.5625,-20.0625,-19.5,-17.0625,5.8125,-38.0625,-38.8125,-36.375,-41.25,17.625,12.1875,-22.125,-45.9375,-22.3125,-2.0625,22.3125,8.8125,-11.8125,-46.125,-17.625,-3.1875,8.0625,-4.125,-2.4375,9.5625,16.875,11.4375,27.0,3.75,15.9375,23.25,11.625,3.375,-16.3125,-22.125,-18.9375,-32.0625,-42.0,-64.3125,-44.625,-38.8125,-47.4375,2021-04-14 05:50:00,25.70625044320852
36,15.125,14.09375,16.59375,22.125,15.40625,-5.4375,-4.5625,-0.8125,20.25,29.875,-0.15625,25.875,39.9375,1.5,-9.0,4.6875,2.25,-0.5625,-20.0625,-19.5,-17.0625,5.8125,-38.0625,-38.8125,-36.375,-41.25,17.625,12.1875,-22.125,-45.9375,-22.3125,-2.0625,22.3125,8.8125,-11.8125,-46.125,-17.625,-3.1875,8.0625,-4.125,-2.4375,9.5625,16.875,11.4375,27.0,3.75,15.9375,23.25,11.625,3.375,-16.3125,-22.125,-18.9375,-32.0625,-42.0,-64.3125,-44.625,-38.8125,-47.4375,-34.3125,2021-04-14 06:00:00,24.568706806966187
37,-1.640625,2.5625,7.921875,3.1875,-15.53125,-13.3125,-8.25,14.5625,24.9375,-0.5625,23.75,39.9375,1.5,-9.0,4.6875,2.25,-0.5625,-20.0625,-19.5,-17.0625,5.8125,-38.0625,-38.8125,-36.375,-41.25,17.625,12.1875,-22.125,-45.9375,-22.3125,-2.0625,22.3125,8.8125,-11.8125,-46.125,-17.625,-3.1875,8.0625,-4.125,-2.4375,9.5625,16.875,11.4375,27.0,3.75,15.9375,23.25,11.625,3.375,-16.3125,-22.125,-18.9375,-32.0625,-42.0,-64.3125,-44.625,-38.8125,-47.4375,-34.3125,-41.0625,2021-04-14 06:10:00,24.636569134864928
38,4.234375,7.75,3.328125,-14.9375,-13.046875,-8.34375,14.546875,24.0,1.359375,22.28125,36.703125,1.5,-9.0,4.6875,2.25,-0.5625,-20.0625,-19.5,-17.0625,5.8125,-38.0625,-38.8125,-36.375,-41.25,17.625,12.1875,-22.125,-45.9375,-22.3125,-2.0625,22.3125,8.8125,-11.8125,-46.125,-17.625,-3.1875,8.0625,-4.125,-2.4375,9.5625,16.875,11.4375,27.0,3.75,15.9375,23.25,11.625,3.375,-16.3125,-22.125,-18.9375,-32.0625,-42.0,-64.3125,-44.625,-38.8125,-47.4375,-34.3125,-41.0625,-59.625,2021-04-14 06:20:00,25.68911424748453
39,2.21875,-1.34375,-18.609375,-16.5,-11.609375,11.90625,20.984375,1.75,19.828125,33.03125,-0.75,-9.0,4.6875,2.25,-0.5625,-20.0625,-19.5,-17.0625,5.8125,-38.0625,-38.8125,-36.375,-41.25,17.625,12.1875,-22.125,-45.9375,-22.3125,-2.0625,22.3125,8.8125,-11.8125,-46.125,-17.625,-3.1875,8.0625,-4.125,-2.4375,9.5625,16.875,11.4375,27.0,3.75,15.9375,23.25,11.625,3.375,-16.3125,-22.125,-18.9375,-32.0625,-42.0,-64.3125,-44.625,-38.8125,-47.4375,-34.3125,-41.0625,-59.625,-59.0625,2021-04-14 06:30:00,26.685484591639423
